crawldate,platform,category_id,category,priceoriginal,discountrate,imageurl,producturl,badges,rank,rank_change_text,productcode,productname,brandname,rating,reviewcount,source
2025-12-16-20-21,AMAZON,,Beauty & Personal Care,45693.0,,"https://images-na.ssl-images-amazon.com/images/I/61iUgqAgoBL._AC_UL600_SR600,400_.jpg",https://www.amazon.com/SOL-JANEIRO-Brazilian-Crush-Fragrance/dp/B09X3HB2BR/ref=zg_bs_g_beauty_d_sccl_1/136-0276595-4086370?psc=1,,1,,B09X3HB2BR,SOL DE JANEIRO Hair & Body Perfume Mist,,4.6,97766,amazon_best_seller
2025-12-16-20-21,AMAZON,,Beauty & Personal Care,14601.0,,"https://images-na.ssl-images-amazon.com/images/I/51lP01--ejL._AC_UL600_SR600,400_.jpg",https://www.amazon.com/eos-Cashmere-Moisture-Lightweight-Non-Greasy/dp/B08KT2Z93D/ref=zg_bs_g_beauty_d_sccl_2/136-0276595-4086370?psc=1,,2,,B08KT2Z93D,"eos Shea Better Body Lotion Vanilla Cashmere, 24-Hour Moisture Skin Care, Lightweight & Non-Greasy, Natural Shea, Vegan, Vanilla Body Lotion, 16 fl oz",,4.7,55534,amazon_best_seller
2025-12-16-20-21,AMAZON,,Beauty & Personal Care,27679.0,,"https://images-na.ssl-images-amazon.com/images/I/71Mcspt-6AL._AC_UL600_SR600,400_.jpg",https://www.amazon.com/Medicube-Zero-Pore-Pads-Dual-Textured/dp/B09V7Z4TJG/ref=zg_bs_g_beauty_d_sccl_3/136-0276595-4086370?psc=1,,3,,B09V7Z4TJG,"Medicube Zero Pore Pads 2.0, Dual-Textured Facial Toner Pads for Exfoliation and Pore Care with 4.5% AHA Lactic Acid & 0.45% BHA Salicylic Acid, Ideal for All Skin Types, Korean Skin Care (70 units)",,4.6,13547,amazon_best_seller
2025-12-16-20-21,AMAZON,,Beauty & Personal Care,24882.0,,"https://images-na.ssl-images-amazon.com/images/I/51Qiwz3ZiaL._AC_UL600_SR600,400_.jpg",https://www.amazon.com/Biodance-Bio-Collagen-Tightening-Hydrating-Molecular/dp/B0B2RM68G2/ref=zg_bs_g_beauty_d_sccl_4/136-0276595-4086370?psc=1,,4,,B0B2RM68G2,"BIODANCE Bio-Collagen Real Deep Mask, Hydrating Overnight Hydrogel Mask, Pore Minimizing, Elasticity, Plumping Improvement, Korean Skincare, Stocking Stuffers for Teen Girls | 1.19oz(34g) x 4ea",,4.4,30038,amazon_best_seller
2025-12-16-20-21,AMAZON,,Beauty & Personal Care,32146.0,,"https://images-na.ssl-images-amazon.com/images/I/71klB9KjwIL._AC_UL600_SR600,400_.jpg",https://www.amazon.com/Under-Eye-Patches-Gold-24-Pairs/dp/B014E2D6BY/ref=zg_bs_g_beauty_d_sccl_5/136-0276595-4086370?psc=1,,5,,B014E2D6BY,"grace & stella Award Winning Under Eye Mask - Stocking Stuffers for Women - Gifts for Teenage Girls - Gel Eye Patches for Dark Circles, Puffy Eyes, Undereye Bags - Vegan - Self Care (24 Pairs, Gold)",,4.3,40435,amazon_best_seller
2025-12-16-20-21,AMAZON,,Beauty & Personal Care,5814.0,,"https://images-na.ssl-images-amazon.com/images/I/71g0kgRpI9L._AC_UL600_SR600,400_.jpg",https://www.amazon.com/eos-Shea-Better-Hand-Cream/dp/B09QP658PT/ref=zg_bs_g_beauty_d_sccl_6/136-0276595-4086370?psc=1,,6,,B09QP658PT,eos Shea Better Hand Cream - Vanilla Cashmere Hand Lotion | Instant Hydration + Lasting Protection | 2.5 oz,,4.7,14798,amazon_best_seller
2025-12-16-20-21,AMAZON,,Beauty & Personal Care,27826.0,,"https://images-na.ssl-images-amazon.com/images/I/51Kx4Wt+VqL._AC_UL600_SR600,400_.jpg",https://www.amazon.com/Mighty-Patch-Hydrocolloid-Absorbing-count/dp/B074PVTPBW/ref=zg_bs_g_beauty_d_sccl_7/136-0276595-4086370?psc=1,,7,,B074PVTPBW,Mighty Patch™ Original patch from Hero Cosmetics – The #1 Hydrocolloid Acne Pimple Patch for Shrinking Zits and Whiteheads in 1 use; Nighttime Spot Stickers for Face and Skin (36 Count),,4.6,179562,amazon_best_seller
2025-12-16-20-21,AMAZON,,Beauty & Personal Care,21821.0,,"https://images-na.ssl-images-amazon.com/images/I/61c5EovDcyL._AC_UL600_SR600,400_.jpg",https://www.amazon.com/medicube-Collagen-Niacinamide-Freeze-Dried-Hydrolyzed/dp/B0DGPSZVW3/ref=zg_bs_g_beauty_d_sccl_8/136-0276595-4086370?psc=1,,8,,B0DGPSZVW3,medicube Collagen Jelly Cream- Niacinamide & Freeze-Dried Hydrolyzed Collagen - Boosts skin's barrier hydration and gives 24h Glow & Lifted Look - Korean skincare (1.69 Fl Oz (Pack of 1)),,4.4,15265,amazon_best_seller
2025-12-16-20-21,AMAZON,,Beauty & Personal Care,43687.0,,"https://images-na.ssl-images-amazon.com/images/I/61occWCJN-L._AC_UL600_SR600,400_.jpg",https://www.amazon.com/Medicube-Collagen-Wrapping-Elasticity-Hydration/dp/B0BRMYHMS5/ref=zg_bs_g_beauty_d_sccl_9/136-0276595-4086370?psc=1,,9,,B0BRMYHMS5,"medicube Collagen Overnight Wrapping Peel Off Facial Mask Pack - Elasticity & Hydration Care, Reduces Sagging & Dullness - Hydrolyzed Collagen For Glowing Skin - Korean Skin Care, 2.53 fl.oz",,4.5,16085,amazon_best_seller
2025-12-16-20-21,AMAZON,,Beauty & Personal Care,24882.0,,"https://images-na.ssl-images-amazon.com/images/I/71pb+JOaCHL._AC_UL600_SR600,400_.jpg",https://www.amazon.com/BodyRestore-Shower-Steamers-Aromatherapy-Packs/dp/B0BJYCRS51/ref=zg_bs_g_beauty_d_sccl_10/136-0276595-4086370?psc=1,,10,,B0BJYCRS51,"Body Restore Shower Steamers Aromatherapy 6 Pack - Christmas Stocking Stuffers, Birthday Gifts for Women, White Elephant, Relaxation, Self Care for Men - Bloom",,4.4,30800,amazon_best_seller
